sentence, cat
stdout party,print,party
stdout pass,print,pass
stdout passage,print,passage
stdout passed,print,passed
stdout passengers,print,passengers
stdout passes,print,passes
stdout passing,print,passing
stdout past,print,past
stdout pasture,print,pasture
stdout path,print,path
stdout pattern,print,pattern
stdout patterns,print,patterns
stdout paul,print,paul
stdout pay,print,pay
stdout peace,print,peace
stdout pen,print,pen
stdout pencil,print,pencil
stdout pennsylvania,print,pennsylvania
stdout people,print,people
stdout peoples,print,peoples
stdout per,print,per
stdout percent,print,percent
stdout perfect,print,perfect
stdout perfectly,print,perfectly
stdout perform,print,perform
stdout performed,print,performed
stdout perhaps,print,perhaps
stdout period,print,period
stdout periods,print,periods
stdout person,print,person
stdout personal,print,personal
stdout persons,print,persons
stdout pet,print,pet
stdout peter,print,peter
stdout philadelphia,print,philadelphia
stdout phrase,print,phrase
stdout phrases,print,phrases
stdout physical,print,physical
stdout piano,print,piano
stdout pick,print,pick
stdout picked,print,picked
stdout picture,print,picture
stdout pictured,print,pictured
stdout pictures,print,pictures
stdout pie,print,pie
stdout piece,print,piece
stdout pieces,print,pieces
stdout pigs,print,pigs
stdout pile,print,pile
stdout pilot,print,pilot
stdout pine,print,pine
stdout pink,print,pink
stdout pipe,print,pipe
stdout pitch,print,pitch
stdout place,print,place
stdout placed,print,placed
stdout places,print,places
stdout plain,print,plain
stdout plains,print,plains
stdout plan,print,plan
stdout plane,print,plane
stdout planes,print,planes
stdout planet,print,planet
stdout planets,print,planets
stdout planned,print,planned
stdout planning,print,planning
stdout plans,print,plans
stdout plant,print,plant
stdout planted,print,planted
stdout plants,print,plants
stdout plastic,print,plastic
stdout plate,print,plate
stdout plates,print,plates
stdout play,print,play
stdout played,print,played
stdout player,print,player
stdout players,print,players
stdout playing,print,playing
stdout plays,print,plays
stdout pleasant,print,pleasant
stdout please,print,please
stdout pleased,print,pleased
stdout pleasure,print,pleasure
stdout plenty,print,plenty
stdout plural,print,plural
stdout plus,print,plus
stdout pocket,print,pocket
stdout poem,print,poem
stdout poet,print,poet
stdout poetry,print,poetry
stdout point,print,point
stdout pointed,print,pointed
stdout pointing,print,pointing
stdout points,print,points
stdout pole,print,pole
stdout poles,print,poles
stdout police,print,police
stdout policeman,print,policeman
stdout political,print,political
stdout pond,print,pond
stdout pony,print,pony
stdout pool,print,pool
stdout poor,print,poor
stdout popular,print,popular
stdout population,print,population
stdout porch,print,porch
stdout port,print,port
stdout position,print,position
stdout positions,print,positions
stdout positive,print,positive
stdout possible,print,possible
stdout possibly,print,possibly
stdout post,print,post
stdout pot,print,pot
stdout potatoes,print,potatoes
stdout pound,print,pound
stdout pounds,print,pounds
stdout pour,print,pour
stdout poured,print,poured
stdout powder,print,powder
stdout power,print,power
stdout powerful,print,powerful
stdout powers,print,powers
stdout practical,print,practical
stdout practice,print,practice
stdout precious,print,precious
stdout prepare,print,prepare
stdout prepared,print,prepared
stdout present,print,present
stdout presented,print,presented
stdout presents,print,presents
stdout president,print,president
stdout press,print,press
stdout pressure,print,pressure
stdout pretty,print,pretty
stdout prevent,print,prevent
stdout previous,print,previous
stdout price,print,price
stdout pride,print,pride
stdout prime,print,prime
stdout primitive,print,primitive
stdout prince,print,prince
stdout principal,print,principal
stdout principle,print,principle
stdout principles,print,principles
stdout printed,print,printed
stdout private,print,private
stdout prize,print,prize
stdout probably,print,probably
stdout problem,print,problem
stdout process,print,process
stdout produce,print,produce
stdout produced,print,produced
stdout produces,print,produces
stdout product,print,product
stdout production,print,production
stdout products,print,products
stdout program,print,program
stdout progress,print,progress
stdout promised,print,promised
stdout proper,print,proper
stdout properly,print,properly
stdout properties,print,properties
stdout property,print,property
stdout protect,print,protect
stdout protection,print,protection
stdout proud,print,proud
stdout prove,print,prove
stdout proved,print,proved
stdout provide,print,provide
stdout provided,print,provided
stdout public,print,public
stdout pull,print,pull
stdout pulled,print,pulled
stdout pulling,print,pulling
stdout pupils,print,pupils
stdout pure,print,pure
stdout purple,print,purple
stdout purpose,print,purpose
stdout push,print,push
stdout pushed,print,pushed
stdout pushing,print,pushing
stdout put,print,put
stdout puts,print,puts
stdout putting,print,putting
stdout quality,print,quality
stdout quarter,print,quarter
stdout queen,print,queen
stdout question,print,question
stdout questions,print,questions
stdout quick,print,quick
stdout quickly,print,quickly
stdout quiet,print,quiet
stdout quietly,print,quietly
stdout quite,print,quite
stdout rabbit,print,rabbit
stdout rabbits,print,rabbits
stdout race,print,race
stdout raced,print,raced
stdout racing,print,racing
stdout radio,print,radio
stdout railroad,print,railroad
stdout rain,print,rain
stdout raise,print,raise
stdout raised,print,raised
stdout raising,print,raising
stdout ran,print,ran
stdout ranch,print,ranch
stdout range,print,range
stdout rapidly,print,rapidly
stdout rare,print,rare
stdout rather,print,rather
stdout raw,print,raw
stdout rays,print,rays
stdout reach,print,reach
stdout reached,print,reached
stdout reaches,print,reaches
stdout reaching,print,reaching
stdout read,print,read
stdout reader,print,reader
stdout reading,print,reading
stdout ready,print,ready
stdout real,print,real
stdout realize,print,realize
stdout really,print,really
stdout rear,print,rear
stdout reason,print,reason
stdout reasons,print,reasons
stdout recall,print,recall
stdout receive,print,receive
stdout received,print,received
stdout recent,print,recent
stdout recently,print,recently
stdout recognize,print,recognize
stdout recognized,print,recognized
stdout record,print,record
stdout recorded,print,recorded
stdout records,print,records
stdout red,print,red
stdout refer,print,refer
stdout refused,print,refused
stdout region,print,region
stdout regions,print,regions
stdout regular,print,regular
stdout related,print,related
stdout relationship,print,relationship
stdout religious,print,religious
stdout remain,print,remain
stdout remained,print,remained
stdout remaining,print,remaining
stdout remains,print,remains
stdout remarkable,print,remarkable
stdout remember,print,remember
stdout remembered,print,remembered
stdout remove,print,remove
stdout removed,print,removed
stdout repeat,print,repeat
stdout repeated,print,repeated
stdout replace,print,replace
stdout replaced,print,replaced
stdout replied,print,replied
stdout report,print,report
stdout reported,print,reported
stdout reports,print,reports
stdout represent,print,represent
stdout represented,print,represented
stdout represents,print,represents
stdout require,print,require
stdout required,print,required
stdout requires,print,requires
stdout research,print,research
stdout resources,print,resources
stdout respect,print,respect
stdout rest,print,rest
stdout result,print,result
stdout results,print,results
stdout return,print,return
stdout returned,print,returned
stdout review,print,review
stdout rhyme,print,rhyme
stdout rhythm,print,rhythm
stdout rice,print,rice
stdout rich,print,rich
stdout richard,print,richard
stdout ride,print,ride
stdout riding,print,riding
stdout right,print,right
stdout rights,print,rights
stdout ring,print,ring
stdout rings,print,rings
stdout rise,print,rise
stdout rises,print,rises
stdout rising,print,rising
stdout river,print,river
stdout rivers,print,rivers
stdout road,print,road
stdout roads,print,roads
stdout roar,print,roar
stdout robert,print,robert
stdout rock,print,rock
stdout rocket,print,rocket
stdout rocks,print,rocks
stdout rocky,print,rocky
stdout rod,print,rod
stdout rode,print,rode
stdout roll,print,roll
stdout rolled,print,rolled
stdout rolling,print,rolling
stdout roman,print,roman
stdout rome,print,rome
stdout roof,print,roof
stdout room,print,room
stdout rooms,print,rooms
stdout root,print,root
stdout roots,print,roots
stdout rope,print,rope
stdout rose,print,rose
stdout rough,print,rough
stdout round,print,round
stdout rounded,print,rounded
stdout route,print,route
stdout row,print,row
stdout rows,print,rows
stdout rubbed,print,rubbed
stdout rubber,print,rubber
stdout rule,print,rule
stdout ruler,print,ruler
stdout rules,print,rules
stdout run,print,run
stdout running,print,running
stdout runs,print,runs
stdout rush,print,rush
stdout rushed,print,rushed
stdout russia,print,russia
stdout russian,print,russian
stdout sad,print,sad
stdout saddle,print,saddle
stdout safe,print,safe
stdout safely,print,safely
stdout safety,print,safety
stdout said,print,said
stdout sail,print,sail
stdout sailed,print,sailed
stdout sailing,print,sailing
stdout sailors,print,sailors
stdout sale,print,sale
stdout sally,print,sally
stdout salmon,print,salmon
stdout salt,print,salt
stdout sam,print,sam
stdout same,print,same
stdout sand,print,sand
stdout sang,print,sang
stdout sat,print,sat
stdout satellites,print,satellites
stdout satisfied,print,satisfied
stdout saturday,print,saturday
stdout save,print,save
stdout saved,print,saved
stdout saw,print,saw
stdout say,print,say
stdout saying,print,saying
stdout says,print,says
stdout scale,print,scale
stdout scales,print,scales
stdout scar,print,scar
stdout scared,print,scared
stdout scattered,print,scattered
stdout scene,print,scene
stdout school,print,school
stdout schools,print,schools
stdout science,print,science
stdout scientific,print,scientific
stdout scientist,print,scientist
stdout scientists,print,scientists
stdout score,print,score
stdout screen,print,screen
stdout sea,print,sea
stdout search,print,search
stdout seas,print,seas
stdout season,print,season
stdout seats,print,seats
stdout second,print,second
stdout seconds,print,seconds
stdout secret,print,secret
stdout section,print,section
stdout sections,print,sections
stdout see,print,see
stdout seed,print,seed
stdout seeds,print,seeds
stdout seeing,print,seeing
stdout seem,print,seem
stdout seemed,print,seemed
stdout seems,print,seems
stdout seen,print,seen
stdout sees,print,sees
stdout seldom,print,seldom
stdout select,print,select
stdout selection,print,selection
stdout sell,print,sell
stdout send,print,send
stdout sense,print,sense
stdout sent,print,sent
stdout sentence,print,sentence
stdout sentences,print,sentences
stdout separate,print,separate
stdout separated,print,separated
stdout september,print,september
stdout series,print,series
stdout serious,print,serious
stdout serve,print,serve
stdout served,print,served
stdout service,print,service
stdout services,print,services
stdout set,print,set
stdout sets,print,sets
stdout setting,print,setting
stdout settle,print,settle
stdout settled,print,settled
stdout settlers,print,settlers
